Code,Description,Units,total
CELCMPPR,Clean computer printer - Small (desk top) - Ext. wipe down,EA,£9.37
CELCMPPR+,Clean computer printer - Small (desk top) - Int. & ext.,EA,£110.34
CELCMPPRL,Clean computer printer - Laser - External wipe down,EA,£9.37
CELCMPPRL+,Clean computer printer - Laser - Int. & ext.,EA,£227.80
CELCMPS,Clean computer software - Disk - External wipe down,EA,£0.44
CELCMPS+,Clean computer software - Disk - Int. & ext.,EA,£21.74
CELCMPSCN,Clean computer scanner - Ext. wipe down,EA,£7.05
CELCMPSCN+,Clean computer scanner - Int. & ext.,EA,£136.87
CELCMPTP,Clean computer tape back up - External - Ext. wipe down,EA,£3.97
CELCMPTP+,Clean computer tape back up - External - Int. & ext.,EA,£100.60
CELCMPUPS,Clean computer UPS (battery back up sys.) - Ext. wipe down,EA,£4.88
CELCMPUPS+,Clean computer UPS (battery back up sys.) - Int. & ext.,EA,£137.32
CELCOP<,Clean copier - Small - External wipe down,EA,£13.86
CELCOP<+,Clean copier - Small - Int. & ext.,EA,£135.03
CELCOP>,Clean copier - Large - External wipe down,EA,£27.36
CELCOP>+,Clean copier - Large - Int. & ext.,EA,£485.82
CELFAX,Clean fax machine - External wipe down,EA,£7.12
CELFAX+,Clean fax machine - Int. & Ext.,EA,£91.33
CELFAX>,Clean fax machine - Large - External wipe down,EA,£9.37
CELFAX>+,Clean fax machine - Large - Int. & ext.,EA,£182.01
CELLAB,Cleaning - Electronics - Per hour,HR,£21.37
CELLABM,Cleaning - Technician incl. cleaning agent - Per hour,HR,£22.21
CELLABR,Cleaning - Remediation Technician - Per hour,HR,£21.70
CELLABS,Cleaning - Supervisory/Administrative - Per hour,HR,£23.11
CELORGK,Clean organ - Keyboard type - External wipe down,EA,£13.86
CELORGK+,Clean organ - Keyboard type - Int. & ext.,EA,£241.25
CELPHN,Clean telephone - External wipe down,EA,£5.76
CELPHN+,Clean telephone - Int. & ext.,EA,£46.10
CELPHNAM,Clean telephone answering machine - External wipe down,EA,£3.79
CELPHNAM+,Clean telephone answering machine -Int. & ext.,EA,£46.02
CELRAD,Clean radio - Portable - External wipe down,EA,£5.76
CELRAD+,Clean radio - Portable - Int. & ext.,EA,£27.66
CELRADC,Clean clock radio - Portable - External wipe down,EA,£5.76
CELRADC+,Clean clock radio - Portable - Int. & ext.,EA,£27.66
CELSEW,Clean sewing machine - Portable - External wipe down,EA,£13.86
CELSEW+,Clean sewing machine - Portable - Int. & ext.,EA,£135.70
CELSEWC,Clean sewing machine and cabinet - External wipe down,EA,"£1,731.00"
CELSEWC+,Clean sewing machine and cabinet - Int. & ext.,EA,£163.94
CELSEWCM,Clean sewing machine - Commercial - External wipe down,EA,£27.36
CELSEWCM+,Clean sewing machine - Commercial - Int. & ext.,EA,£302.65
CELCMPSCN+,Clean computer scanner - Int. & ext.,EA,£136.87
CELCMPTP,Clean computer tape back up - External - Ext. wipe down,EA,£3.97
CELCMPTP+,Clean computer tape back up - External - Int. & ext.,EA,£100.60
CELCMPUPS,Clean computer UPS (battery back up sys.) - Ext. wipe down,EA,£4.88
CELCMPUPS+,Clean computer UPS (battery back up sys.) - Int. & ext.,EA,£137.32
CELCOP<,Clean copier - Small - External wipe down,EA,£13.86
CELCOP<+,Clean copier - Small - Int. & ext.,EA,£135.03
CELCOP>,Clean copier - Large - External wipe down,EA,£27.36
CELCOP>+,Clean copier - Large - Int. & ext.,EA,£485.82
CELFAX,Clean fax machine - External wipe down,EA,£7.12
CELFAX+,Clean fax machine - Int. & Ext.,EA,£91.33
CELFAX>,Clean fax machine - Large - External wipe down,EA,£9.37
CELFAX>+,Clean fax machine - Large - Int. & ext.,EA,£182.01
CELLAB,Cleaning - Electronics - Per hour,HR,£21.37
CELLABM,Cleaning - Technician incl. cleaning agent - Per hour,HR,£22.21
CELLABR,Cleaning - Remediation Technician - Per hour,HR,£21.70
CELLABS,Cleaning - Supervisory/Administrative - Per hour,HR,£23.11
CELORGK,Clean organ - Keyboard type - External wipe down,EA,£13.86
CELORGK+,Clean organ - Keyboard type - Int. & ext.,EA,£241.25
CELPHN,Clean telephone - External wipe down,EA,£5.76
CELPHN+,Clean telephone - Int. & ext.,EA,£46.10
CELPHNAM,Clean telephone answering machine - External wipe down,EA,£3.79
CELPHNAM+,Clean telephone answering machine -Int. & ext.,EA,£46.02
CELRAD,Clean radio - Portable - External wipe down,EA,£5.76
CELRAD+,Clean radio - Portable - Int. & ext.,EA,£27.66
CELRADC,Clean clock radio - Portable - External wipe down,EA,£5.76
CELRADC+,Clean clock radio - Portable - Int. & ext.,EA,£27.66
CELSEW,Clean sewing machine - Portable - External wipe down,EA,£13.86
CELSEW+,Clean sewing machine - Portable - Int. & ext.,EA,£135.70
CELSEWC,Clean sewing machine and cabinet - External wipe down,EA,£17.31
CELSEWC+,Clean sewing machine and cabinet - Int. & ext.,EA,£163.94
CELSEWCM,Clean sewing machine - Commercial - External wipe down,EA,£27.36
CELSEWCM+,Clean sewing machine - Commercial - Int. & ext.,EA,£302.65
CELSTERA,Clean stereo - Components - Amplifier - External wipe down,EA,£7.12
CELSTERA+,Clean stereo - Components - Amplifier - Int. & ext.,EA,£69.68
CELSTERAR,Clean stereo - Components - Amp/rec. - External wipe down,EA,£7.12
CELSTERAR+,Clean stereo - Components - Amp/rec. - Int. & ext.,EA,£130.50
CELSTERC,Clean stereo - Console - External wipe down,EA,£28.11
CELSTERC+,Clean stereo - Console - Int. & ext.,EA,£241.22
CELSTERCD,Clean stereo - Components - CD player - External wipe down,EA,£7.12
CELSTERCD+,Clean stereo - Components - CD player - Int. & ext.,EA,£126.89
CELSTERCP,Clean stereo - Components - Cass. player - Ext. wipe down,EA,7.12
CELSTERCP+,Clean stereo - Components - Cass. player - Int. & ext.,EA,£126.89
CELSTEREQ,Clean stereo - Components - Equaliser - External wipe down,EA,£7.12
CELSTEREQ+,Clean stereo - Components - Equaliser - Int. & ext.,EA,£97.06
CELSTERP,Clean stereo (boom box) - Portable - External wipe down,EA,£13.86
CELSTERP+,Clean stereo (boom box) - Portable - Int. & ext.,EA,£126.66
CELSTERR,Clean stereo - Components - Receiver - External wipe down,EA,£7.12
CELSTERR+,Clean stereo - Components - Receiver - Int. & ext.,EA,£120.79
CELSTERS,Clean stereo - Components - Speakers - External wipe down,EA,£5.76
CELSTERS+,Clean stereo - Components - Speakers - Int. & ext.,EA,£49.44
CELSTERS>,Clean stereo - Comp. - Speakers - Large - Ext. wipe down,EA,£7.12
CELSTERS>+,Clean stereo - Comp. - Speakers - Large - Int. & ext.,EA,£65.09
CELSTERTT,Clean stereo - Components - Turntable - External wipe down,EA,£7.12
CELSTERTT+,Clean stereo - Components - Turntable - Int. & ext.,EA,£65.01
CELTV,Clean television - External wipe down,EA,£9.37
CELTV+,Clean television - Int. & ext.,EA,£161.78
CELTV<,Clean television - Small portable - External wipe down,EA,£7.12
CELTV<+,Clean television - Small portable - Int. & ext.,EA,£54.72
CELTVC,Clean television - Console - External wipe down,EA,£13.86
CELTVC+,Clean television - Console - Int. & ext.,EA,£193.50
CELTVLS,Clean television - Large screen - External wipe down,EA,£14.23
CELTVLS+,Clean television - Large screen - Int. & ext.,EA,£400.29
CELTVVCR,Clean combination TV/VCR unit - External wipe down,EA,£7.49
CELTVVCR+,Clean combination TV/VCR unit - Int. & ext.,EA,£162.42
CELTYP,Clean typewriter - External wipe down,EA,£9.37
CELTYP+,Clean typewriter - Int. & ext.,EA,£92.04
CELVCR,Clean VCR - External wipe down,EA,£7.49
CELVCR+,Clean VCR - Int. & ext.,EA,£137.66
CELVCRC,Clean VCR - Camcorder - External wipe down,EA,£7.12
CELVCRC+,Clean VCR - Camcorder - Int. & ext.,EA,£194.15
CELVCRRM,Clean VCR remote control - External wipe down,EA,£2.44
CELVCRRM+,Clean VCR remote control - Int. & ext.,EA,£30.53
CELVCRRW,Clean VCR tape rewinder - External wipe down,EA,£3.79
CELVCRRW+,Clean VCR tape rewinder - Int. & ext.,EA,£19.03
CELVDOG,Clean video game unit - W/controllers - External wipe down,EA,£5.76
CELVDOG+,Clean video game unit - W/controllers - Int. & ext.,EA,£86.76
CELVDOG>,Clean video game - Large - W/controllers - Ext. wipe down,EA,£9.37
CELVDOG>+,Clean video game - Large - W/controllers - Int. & ext.,EA,£53.30
,E) CGN CONT: CLEAN - GENERAL ITEMS ,,
CGNBAR,Clean bar contents,LM,£18.31
CGNBAR-,Clean bar contents - Light clean,LM,£12.33
CGNBAR+,Clean bar contents - Heavy clean,LM,£34.31
CGNBAR<,Clean bar contents - Small amount,LM,£12.33
CGNBAR<-,Clean bar contents - Small amount - Light clean,LM,£10.61
CGNBAR<+,Clean bar contents - Small amount - Heavy clean,LM,£14.72
CGNBAR>,Clean bar contents - Large amount,LM,£24.31
CGNBAR>-,Clean bar contents - Large amount - Light clean,LM,£14.72
CGNBAR>+,Clean bar contents - Large amount - Heavy clean,LM,£29.12
CGNBCS,Clean baby car seat,EA,£8.73
CGNBCS-,Clean baby car seat - Light clean,EA,£6.00
CGNBCS+,Clean baby car seat - Heavy clean,EA,£12.05
CGNBDWT,Clean waterbed contents,EA,£8.71
CGNBDWT-,Clean waterbed contents - Light clean,EA,£6.23
CGNBDWT+,Clean waterbed contents - Heavy clean,EA,£13.28
CGNBDWT<,Clean waterbed contents - Small amount,EA,£6.35
CGNBDWT<-,Clean waterbed contents - Small amount - Light clean,EA,£4.76
CGNBDWT<+,Clean waterbed contents - Small amount - Heavy clean,EA,£8.05
CGNBDWT>,Clean waterbed contents - Large amount,EA,£13.02
CGNBDWT>-,Clean waterbed contents - Large amount - Light clean,EA,£9.75
CGNBDWT>+,Clean waterbed contents - Large amount - Heavy clean,EA,£20.68
CGNBHC,Clean baby high chair,EA,£8.81
CGNBHC-,Clean baby high chair - Light clean,EA,£6.31
CGNBHC+,Clean baby high chair - Heavy clean,EA,£13.87
CGNBK,Clean bookcase contents,LM,£14.99
CGNBK-,Clean bookcase contents - Light clean,LM,£10.68
CGNBK+,Clean bookcase contents - Heavy clean,LM,£25.18
CGNBK<,Clean bookcase contents - Small amount,LM,£8.60
CGNBK<-,Clean bookcase contents - Small amount - Light clean,LM,£6.41
CGNBK<+,Clean bookcase contents - Small amount - Heavy clean,LM,£15.59
CGNBK>,Clean bookcase contents - Large amount,LM,£24.58
CGNBK>-,Clean bookcase contents - Large amount - Light clean,LM,£14.79
CGNBK>+,Clean bookcase contents - Large amount - Heavy clean,LM,£37.16
CGNBRIC,Clean miscellaneous bric-a-brac/knick knacks,EA,£0.96
CGNBRIC-,Clean miscellaneous bric-a-brac/knick knacks - Light cln,EA,£0.76
CGNBRIC+,Clean miscellaneous bric-a-brac/knick knacks - Heavy cln,EA,£1.44
CGNBS,Clean Pushchair/Strollers,EA,£9.60
CGNBS-,Clean Pushchair/Strollers - Light clean,EA,£6.69
CGNBS+,Clean Pushchair/Strollers - Heavy clean,£14.60 EA,£14.60
CGNBS>,Clean Pushchair/Strollers - Large,£13.46 EA,£13.46
CGNBS>-,Clean Pushchair/Stroller - Large - Light clean,£9.35 EA,£9.35
CGNBS>+,Clean Pushchair/Stroller - Large - Heavy clean,£20.33 EA,£20.33
CGNBSW,Clean baby swing,£11.72 EA,£11.72
CGNBSW-,Clean baby swing - Light clean,£8.22 EA,£8.22
CGNBSW+,Clean baby swing - Heavy clean,£17.81 EA,£17.81
CGNBUF,Clean buffet contents,£22.38 EA,£22.38
CGNBUF-,Clean buffet contents - Light clean,£17.99 EA,£17.99
CGNBUF+,Clean buffet contents - Heavy clean,£27.88 EA,£27.88
CGNBUF<,Clean buffet contents - Small amount,£12.98 EA,£12.98
CGNBUF<-,Clean buffet contents - Small amount - Light clean,£9.22 EA,£9.22
CGNBUF<+,Clean buffet contents - Small amount - Heavy clean,£17.99 EA,£17.99
CGNBUF>,Clean buffet contents - Large amount,£33.18 EA,£33.18
CGNBUF>-,Clean buffet contents - Large amount - Light clean,£27.02 EA,£27.02
CGNBUF>+,Clean buffet contents - Large amount - Heavy clean,£38.57 EA,£38.57
CGNBXBK,Clean bookpack - Per box,£14.73 EA,£14.73
CGNBXBK-,Clean bookpack - Per box - Light clean,£8.82 EA,£8.82
CGNBXBK+,Clean bookpack - Per box - Heavy clean,£22.13 EA,£22.13
CGNBXBL,Clean bric-a-brac - Per Lg box,£34.73 EA,£34.73
CGNBXBL-,Clean bric-a-brac - Per Lg box - Lt clean,£27.70 EA,£27.70
CGNBXBL+,Clean bric-a-brac - Per Lg box - Hvy clean,£52.70 EA,£52.70
CGNBXBL<,Clean bric-a-brac - Per Lg box - Low density,£23.14 EA,£23.14
CGNBXBL<-,Clean bric-a-brac - Per Lg box - Low density - Lt clean,£18.47 EA,£18.47
CGNBXBL<+,Clean bric-a-brac - Per Lg box - Low density - Hvy clean,£35.31 EA,£35.31
CGNBXBL>,Clean bric-a-brac - Per Lg box - High density,£69.37 EA,£69.37
CGNBXBL>-,Clean bric-a-brac - Per Lg box - High density - Lt clean,£55.41 EA,£55.41
CGNBXBL>+,Clean bric-a-brac - Per Lg box - High density - Hvy clean,£105.79 EA,£105.70
CGNBXBM,Clean bric-a-brac - Per Med box,£27.80 EA,£27.80
CGNBXBM-,Clean bric-a-brac - Per Med box - Lt clean,£22.18 EA,£22.18
CGNBXBM+,Clean bric-a-brac - Per Med box - Hvy clean,£42.08 EA,£42.08
CGNBXBM<,Clean bric-a-brac - Per Med box - Low density,£18.54 EA,£18.54
